Form	Pronunciation

# SPDX-License-Identifier: Unicode-DFS-2016

a	ˈʔa
Aa	ˈʔaː.ˈʔaː
Aachen	ˈʔaː.xən
Aale	ˈʔaː.lə
Aarburger	ˈʔaːɐ.bʊɐ.ɡɐ
Aare	ˈʔaː.ʁə
Aarklashs	ˈʔaːɐ.klaʃs
ab	ˈʔap
Ab	ˈʔap
Abandon	ʔa.ˈbɛn.dən
Abbau	ˈʔap.baʊ̯
abbauen	ˈʔap.baʊ̯.ən
abbekommend	ˈʔap.bə.kɔ.mənt
abberufen	ˈʔap.bə.ʁuː.fən
Abbildung	ˈʔap.bɪl.dʊŋ
Abbildungen	ˈʔap.bɪl.dʊ.ŋən
Abbot	ˈʔɛ.bət
Abbreviation	ʔa.bʁeː.viː.a.ˈt͡sjoːn
Abbreviationen	ʔa.bʁeː.viː.a.ˈt͡sjoː.nən
Abbreviatur	ʔa.bʁeː.viː.a.ˈtuːɐ
Abbreviaturen	ʔa.bʁeː.viː.a.ˈtuː.ʁən
abbreviieren	ʔa.bʁeː.viː.ˈiː.ʁən
Abbruch	ˈʔap.bʁʊx
abdampfen	ˈʔap.dam.p͡fən
Abdel	ˈʔap.dɛl
Abdelkadr	ʔap.dɛl.ˈka.dɐ
Abdomens	ʔap.ˈdoː.məns
abduziere	ʔap.duː.ˈt͡siː.ʁə
abebbend	ˈʔap.ʔɛ.bənt
abebbender	ˈʔap.ʔɛ.bən.dɐ
abend	ˈʔaː.bənt
Abend	ˈʔaː.bənt
Abendausgabe	ˈʔaː.bənt.ʔaʊ̯s.ɡaː.bə
Abende	ˈʔaː.bən.də
abendelangen	ˈʔaː.bən.də.la.ŋən
Abenden	ˈʔaː.bən.dən
Abendessen	ˈʔaː.bənt.ʔɛ.sən
abendlich	ˈʔaː.bənt.lɪç
Abendmahl	ˈʔa.bənt.maːl
Abendrot	ˈʔaː.bənt.ʁoːt
abends	ˈʔaː.bənt͡s
Abends	ˈʔaː.bənt͡s
Abendstunden	ˈʔaː.bənt.ʃtʊn.dən
Abenteuer	ˈʔaː.bən.tɔʏ̯.ɐ
abenteuere	ˈʔaː.bən.tɔʏ̯.ɐ.ʁə
Abenteuerin	ˈʔaː.bən.tɔʏ̯.ɐ.ʁɪn
Abenteuerinnen	ˈʔaː.bən.tɔʏ̯.ɐ.ʁɪ.nən
abenteuerlich	ˈʔaː.bən.tɔʏ̯.ɐ.lɪç
