# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
අංක	aŋkə
අංකනය	aŋkənəjə
අංකය	aŋkəjə
අංකයකට	aŋkəjəkəʈə
අංකයකින්	aŋkəjəkin
අංකයක්	aŋkəjak
අංකයක්ද	aŋkəjakdə
අංකයට	aŋkəjəʈə
අංකයත්	aŋkəjat
අංකයද	aŋkəjədə
අංකයන්	aŋkəjan
අංකයන්හි	aŋkəjanhi
අංකයයි	aŋkəjaj
අංකයෙන්	aŋkəjen
අංකයෙන්ද	aŋkəjendə
අංකයෙහි	aŋkəjehi
අංකයේ	aŋkəjeː
අංකල්	aŋkəl
අංකල්ගෙ	aŋkəlɡe
අංකල්ගෙන්	aŋkəlɡen
අංකල්ගේ	aŋkəlɡeː
අංකල්ට	aŋkəlʈə
අංකල්ටත්	aŋkəlʈat
අංකවලට	aŋkəwələʈə
අංකවලින්	aŋkəwəlin
අංකුර	aŋkurə
අංකුරය	aŋkurəjə
අංකුරයක්	aŋkurəjak
අංකෙ	aŋke
අංකෙන්	aŋken
අංකෙලිය	aŋkelijə
අංකෙළිය	aŋkelijə
අංග	aŋɡə
අංගං	aŋɡaŋ
අංගද	aŋɡədə
අංගන	aŋɡənə
අංගනය	aŋɡənəjə
අංගනයක්	aŋɡənəjak
අංගනයට	aŋɡənəjəʈə
අංගනයේ	aŋɡənəjeː
අංගනා	aŋɡənaː
අංගනාවන්	aŋɡənaːwan
අංගම	aŋɡəmə
අංගමක්	aŋɡəmək
අංගමැඩිල්ල	aŋɡəmæɖillə
අංගම්	aŋɡam
අංගම්පොර	aŋɡamporə
අංගම්මන	aŋɡammənə
අංගම්මැඩිල්ල	aŋɡammæɖillə
අංගය	aŋɡəjə
අංගයකම	aŋɡəjəkəmə
අංගයකි	aŋɡəjəki
අංගයකින්	aŋɡəjəkin
අංගයක්	aŋɡəjak
අංගයක්ම	aŋɡəjakmə
අංගයට	aŋɡəjəʈə
අංගයන්	aŋɡəjan
අංගයන්ගෙන්	aŋɡəjanɡen
අංගයන්ට	aŋɡəjanʈə
අංගයන්ය	aŋɡəjanjə
අංගයයි	aŋɡəjaj
අංගයේ	aŋɡəjeː
අංගයේදී	aŋɡəjeːdiː
අංගවලට	aŋɡəwələʈə
අංගවලින්	aŋɡəwəlin
අංගවිකල	aŋɡəwikələ
අංගවිකලතා	aŋɡəwikələtaː
අංගවිකලව	aŋɡəwikələwə
අංගසම්පූර්ණ	aŋɡəsampuːrnə
අංගාරා	aŋɡaːraː
අංගුත්තර	aŋɡuttərə
අංගුත්තරනිකාය	aŋɡuttərənikaːjə
අංගුලි	aŋɡuli
අංගුලිමාල	aŋɡulimaːlə
අංගුලිමාලට	aŋɡulimaːləʈə
අංගුලිමාලටත්	aŋɡulimaːləʈət
අංගොඩ	aŋɡoɖə
අංගොඩට	aŋɡoɖəʈə
අංගොඩින්	aŋɡoɖin
අංගෝපාංග	aŋɡoːpaːŋɡə
අංගෝපාංගයන්	aŋɡoːpaːŋɡəjan
අංගෝපාංගයන්ගෙන්	aŋɡoːpaːŋɡəjanɡen
අංගෝපාංගවලින්	aŋɡoːpaːŋɡəwəlin
අංචි	aŋci
අංචියක්	aŋcijak
අංජන	aŋɟənə
අංජනගේ	aŋɟənəɡe
අංජනමක්	aŋɟənəmak
අංජනම්	aɲɟənam
අංජනම්	aŋɟənam
අංජනා	aŋɟənaː
අංජනී	aŋɟəniː
අංජනීගේ	aŋɟəniːɡe
