Form	Pronunciation

# SPDX-License-Identifier: Unicode-DFS-2016

a	ɑ
aacht	aːχt
aachte	aːχtə
aachten	aːχtən
Aangel	aːŋəl
aangelkreepche	aːŋəlkʁeːpɕə
aangelkreepchen	aːŋəlkʁeːpɕən
Aarbecht	aːʁbəɕt
Aarbechter	aːʁbəɕtɐ
aarbechterinne	aːʁbəɕtəʁinə
aarbechtskolleeginne	aːʁbəɕt͡skoleːʑinə
Aarbechtskolleg	aːʁbəɕt͡skoleːɕ
aarbechtskolleginne	aːʁbəɕt͡skoleːʑinə
aarbechtslost	aːʁbəɕt͡sloːst
aarbechtsministär	aːʁbəɕt͡sministɛːʁ
Aarbechtsplaz	aːʁbəɕt͡splaːt͡s
Aarbechtszäit	aːʁbəɕt͡st͡sæːɪ̯t
aarm	aːʁm
Aarmbandauer	aːʁmbɑndɑʊ̯ɐ
aarme	aːʁmə
aarmséileg	aːʁmsɜɪ̯ləɕ
aarmutsituatiounen	aːʁmutzitwaːt͡sjəʊ̯nən
Aarmutsrisiko	aːʁmut͡sʁizikoː
Aarmutt	aːʁmut
Aart	aːʁt
aartlech	aːʁtləɕ
Aascht	aːʃt
Aaxt	aːkst
abatjour	ɑbaːʒuːʁ
Abattement	ɑbɑtəmɑ̃ː
abattemente	ɑbɑtəmɑ̃ːə
abattementen	ɑbɑtəmɑ̃ːən
Abberzuel	ɑbɐt͡suə̯l
ABC	aːbeːt͡seː
abee	ɑbeː
abegräife	ɑbəɡʁæːɪ̯fə
abegräifen	ɑbəɡʁæːɪ̯fən
Abendmahl	aːbəntmaːl
Abenteuer	aːbəntoɪɐ
abezuele	ɑbət͡suə̯lə
abezuelen	ɑbət͡suə̯lən
abgöttesch	ɑbɡøtəʃ
abiméiere	ɑbimɜɪ̯əʁə
abiméieren	ɑbimɜɪ̯əʁən
Abléck	ɑblek
abonnentinne	ɑbonæntinə
Abrëll	ɑbʁəl
Abrëllsgeck	ɑbʁəlsɡæk
abriecherinne	ɑbʁiə̯ɕəʁinə
Abroch	ɑbʁoχ
abscheilech	ɑpʃɑɪ̯ləɕ
absenteismus	ɑbzænteːismus
absichtlech	ɑpziɕtləɕ
absolutt	ɑpzolut
absolventinne	ɑbzolvæntinə
abstraéiert	ɑbstʁɑɜɪ̯ɐt
abstraéiertes	ɑbstʁɑɜɪ̯ɐtəs
abstrakt	ɑbstʁɑkt
absurd	ɑpzuʁt
