Form	Pronunciation

# SPDX-License-Identifier: Unicode-DFS-2016

'en	ã
1er	pʁə.ˈˈmje
a	a
abaissa	a.bɛ.ˈsa
abaissaient	a.bɛ.ˈsɛ
abaissait	a.bɛ.ˈsɛ
abaissant	a.bɛ.ˈsã
abaisse	a.ˈbɛs
abaissee	a.bɛ.ˈsi
abaissees	a.bɛ.ˈsi
abaissement	a.bɛ.sə.ˈmã
abaissements	a.bɛ.sə.ˈmã
abaissent	a.ˈbɛs
abaisser	a.bɛ.ˈse
abaissera	a.bɛ.sə.ˈʁa
abaisseraient	a.bɛ.sə.ˈʁɛ
abaisserait	a.bɛ.sə.ˈʁɛ
abaisseront	a.bɛ.sə.ˈʁõ
abaisses	a.ˈbɛs
abaissons	a.bɛ.ˈsõ
abandon	a.bã.ˈdõ
abandonna	a.bã.dɔ.ˈna
abandonnaient	a.bã.dɔ.ˈnɛ
abandonnait	a.bã.dɔ.ˈnɛ
abandonnant	a.bã.dɔ.ˈnã
abandonnat	a.bã.dɔ.ˈna
abandonne	a.bã.ˈdɔn
abandonnee	a.bã.dɔ.ˈni
abandonnees	a.bã.dɔ.ˈni
abandonnent	a.bã.ˈdɔn
abandonner	a.bã.dɔ.ˈne
abandonnera	a.bã.dɔ.nə.ˈʁa
abandonnerai	a.bã.dɔ.nə.ˈʁɛ
abandonneraient	a.bã.dɔ.nə.ˈʁɛ
abandonnerait	a.bã.dɔ.nə.ˈʁɛ
abandonnerent	a.bã.dɔ.nə.ˈʁã
abandonnerons	a.bã.dɔ.nə.ˈʁõ
abandonneront	a.bã.dɔ.nə.ˈʁõ
abandonnes	a.bã.ˈdɔn
abandonnez	a.bã.dɔ.ˈne
abandonnions	a.bã.dɔn.ˈjõ
abandonnons	a.bã.dɔ.ˈnõ
abandons	a.bã.ˈdõ
abaque	a.ˈbak
abasourdi	a.ba.zuʁ.ˈdi
abasourdie	a.ba.zuʁ.ˈdi
abasourdies	a.ba.zuʁ.ˈdi
abasourdis	a.ba.zuʁ.ˈdi
abat	a.ˈba
abat-jour	a.ba.ˈʒuʁ
abatardi	a.ba.taʁ.ˈdi
abatardie	a.ba.taʁ.ˈdi
abatardir	a.ba.taʁ.ˈdiʁ
abatardis	a.ba.taʁ.ˈdi
abats	a.ˈba
abattage	a.ba.ˈtaʒ
abattages	a.ba.ˈtaʒ
abattaient	a.ba.ˈtɛ
abattait	a.ba.ˈtɛ
